Gene,Chr,Start,End
NPPB,1,11401560,11403041
SBF1P2,1,11421872,11424861
RNU5E-1,1,11452260,11452378
RNU5E-4P,1,11453924,11454043
KIAA2013,1,11463707,11470544
PLOD1,1,11478837,11519656
MFN2,1,11524563,11557644
MIIP,1,11563622,11576189
MIR6729,1,11573300,11573364
RN7SL649P,1,11580884,11581158
TNFRSF8,1,11607442,11688342
RNU6-777P,1,11622020,11622123
RPL23AP89,1,11624389,11624685
MIR7846,1,11711066,11711161
TNFRSF1B,1,11711114,11753352
MIR4632,1,11735843,11735903
RPL10P17,1,11764863,11765245
LOC124900427,1,11765284,11765407
VPS13D,1,11774166,12056190
LOC124904680,1,11953314,11953397
SNORA59A,1,12051389,12051540
LINC02766,1,12069399,12081059
DHRS3,1,12112042,12162348
RNU6ATAC18P,1,12114103,12114203
MIR6730,1,12123089,12123155
AADACL4,1,12188232,12211227
AADACL3,1,12260261,12272876
LOC124904811,1,12283842,12283945
CFAP107,1,12290298,12307996
PRAMEF12,1,12318012,12322180
PRAMEF1,1,12335685,12340916
LINC01784,1,12366702,12367239
PRAMEF11,1,12368616,12375422
PRAMEF30P,1,12382481,12385394
HNRNPCL1,1,12391388,12392731
PRAMEF2,1,12401098,12405915
PRAMEF4,1,12423168,12430160
PRAMEF10,1,12436863,12442237
PRAMEF7,1,12460529,12464670
RNU6-1072P,1,12466473,12466578
PRAMEF29P,1,12470089,12472809
PRAMEF6,1,12482394,12489336
PRAMEF31P,1,12496884,12499861
PRAMEF18,1,12519546,12523005
PRAMEF13,1,12544302,12549523
PRAMEF9,1,12566137,12573753
HNRNPCL4,1,12579977,12581694
PRAMEF26,1,12589597,12596701
PRAMEF36P,1,12613382,12618589
HNRNPCL2,1,12628805,12630171
PRAMEF35P,1,12639976,12641290
PRAMEF34P,1,12645952,12651159
PRAMEF25,1,12668054,12672734
LOC100132865,1,12687070,12690047
PRAMEF5,1,12695431,12704668
PRAMEF32P,1,12714141,12716861
RNU6-771P,1,12720360,12720465
PRAMEF8,1,12722538,12726371
PRAMEF33,1,12744776,12750144
PRAMEF15,1,12756818,12763835
PRAMEF14,1,12783099,12788341
PRAMEF19,1,12809705,12813221
PRAMEF17,1,12830908,12833905
PRAMEF20,1,12851719,12862598
LRRC38,1,12916882,12955917
LOC102724856,1,12929461,12934762
LOC107984918,1,12955134,12958968
BRWD1P1,1,12996939,12997920
PDPN,1,13025717,13059901
RNA5SP41,1,13065120,13065220
LOC105378612,1,13112258,13116786
LOC105376756,1,13129159,13133949
LOC124900446,1,13138152,13138281
PRDM2,1,13142270,13267189
RNU6-1265P,1,13566404,13566506
LOC107985467,1,13644113,13696120
LOC124905691,1,13664077,13696988
LOC124903847,1,13725683,13747140
KAZN-AS1,1,13791124,13862125
KAZN,1,14042500,14562121
TBCAP2,1,14135985,14136448
LOC105376759,1,14245424,14249223
LOC124903848,1,14267137,14277078
LOC107985469,1,14332740,14355694
LOC124903849,1,14366344,14367864
TMEM51-AS1,1,14555877,14596533
TMEM51,1,14596635,14664561
TMEM51-AS2,1,14608254,14615688
MFFP1,1,14635855,14637229
ZBTB2P1,1,14670708,14671587
FHAD1,1,14691580,14843081
FHAD1-AS1,1,14771332,14788532
LOC124903851,1,14779173,14785575
EFHD2-AS1,1,14847732,14855827
EFHD2,1,14854637,14875085
CTRC,1,14883158,14893965
CELA2A,1,14901450,14916792
LOC105376767,1,14908215,14912091
CELA2B,1,14920804,14936095
CASP9,1,14936101,14969488
DNAJC16,1,14971546,15016429
SCARNA21B,1,14986864,14987002
AGMAT,1,15016395,15029763
CHCHD2P6,1,15049239,15050025
LOC124904764,1,15052475,15052518
RNU7-179P,1,15052790,15052857
CD24P1,1,15054694,15059658
DDI2,1,15062171,15113775
RSC1A1,1,15104444,15106764
PLEKHM2,1,15129052,15179507
SLC25A34,1,15180996,15186130
SLC25A34-AS1,1,15184789,15194630
TMEM82,1,15187236,15192722
FBLIM1,1,15201378,15231333
RPL12P14,1,15237488,15238099
UQCRHL,1,15252142,15252417
SPEN-AS1,1,15275483,15289413
SPEN,1,15288973,15381736
LOC124904815,1,15352167,15352267
ZBTB17,1,15383149,15417408
LOC124903855,1,15389773,15405806
LOC124905656,1,15429619,15438517
SRARP,1,15445552,15450118
HSPB7,1,15455340,15460905
CLCNKA,1,15463347,15475360
FAM131C2P,1,15475820,15481327
CLCNKB,1,15485085,15498707
FAM131C,1,15499150,15515031
EPHA2,1,15565745,15597465
EPHA2-AS1,1,15596593,15626794
ARHGEF19,1,15639202,15653982
ANO7L1,1,15657234,15668420
CPLANE2,1,15673027,15678517
MT1XP1,1,15682413,15682773
FBXO42,1,15688176,15793999
SZRD1,1,15808777,15839678
RPL22P3,1,15810625,15811083
SPATA21,1,15837210,15879103
NECAP2,1,15882405,15901764
LINC01772,1,15902633,15910168
CROCCP3,1,15909123,15934359
RNU1-1,1,15955819,15955982
TRN-GTT5-1,1,15962283,15962356
LINC01783,1,15975589,15977350
RNU1-6P,1,15975779,15975922
TRE-TTC4-1,1,15976977,15977048
LOC124903856,1,15980684,15981361
TRG-CCC1-1,1,15987637,15987707
LOC124905696,1,15989288,15995058
TRV-CAC11-1,1,15989358,15989430
PDE4DIPP8,1,15990344,15992910
LOC101056699,1,15995142,15995213
LOC124905692,1,16004107,16241061
LOC124905558,1,16053904,16075657
CROCCP2,1,16080315,16091157
LOC124900386,1,16092528,16105382
MST1P2,1,16105801,16110649
CROCCP4,1,16116689,16117418
RNU1-3,1,16127026,16127189
LOC124905693,1,16133239,16133748
TRNAG-CCC,1,16140451,16140521
LOC124905694,1,16142835,16145354
LOC124900584,1,16245735,16260188
LOC124905569,1,16262509,16270517
LOC124900583,1,16272195,16277901
LOC124905695,1,16280794,16294698
LOC124905573,1,16294286,16294449
TRNAN-GUU,1,16301181,16301254
LOC124905576,1,16302848,16302991
TRNAE-UUC,1,16304046,16304117
LOC124905556,1,16306982,16308325
LOC124905697,1,16319771,16334887
LOC102724562,1,16362976,16365974
LOC124905698,1,16366834,16382820
LOC124905808,1,16382374,16382537
LOC124903857,1,16388524,16389102
TRG-CCC4-1,1,16393870,16393940
EIF1AXP1,1,16398708,16401861
ESPNP,1,16406821,16435788
TRV-CAC13-1,1,16441193,16441265
TRNAE-UUC,1,16453772,16453843
LOC124905577,1,16454898,16455041
TRNAN-GUU,1,16456650,16456723
RNU1-4,1,16463454,16463617
MST1L,1,16478340,16485700
LOC124905701,1,16510008,16524616
LOC124905699,1,16535947,16536525
LOC440570,1,16538520,16541660
TRNAE-UUC,1,16540155,16540226
TRNAH-GUG,1,16543018,16543091
LOC124905700,1,16548321,16566293
LOC124905809,1,16549823,16549986
LOC124905559,1,16568431,16570427
LOC124905560,1,16571659,16583485
LOC124905572,1,16584106,16598560
NBPF1,1,16603252,16656036
PDE4DIPP9,1,16667136,16669711
MIR3675,1,16669376,16669448
TRV-CAC11-2,1,16670625,16670697
TRG-CCC1-2,1,16672348,16672418
LOC124903860,1,16677298,16683565
LOC112267871,1,16682655,16684524
TRE-TTC3-1,1,16683012,16683083
RNU1-5P,1,16684136,16684279
LOC107985101,1,16697578,16700042
LOC105376805,1,16698966,16700095
TRN-GTT4-1,1,16700106,16700179
RNU1-2,1,16706420,16706583
CROCC,1,16732378,16783391
MFAP2,1,16784929,16792008
LOC105376806,1,16786288,16788222
ATP13A2,1,16796381,16822349
SDHB,1,16829151,16864469
PADI2,1,16877198,16929905
LOC124903861,1,16922240,16924299
LOC105376808,1,16946129,16949418
LINC02783,1,17001097,17007668
PADI1,1,17016414,17057242
PADI3,1,17060334,17095464
MIR3972,1,17089119,17089205
PADI4,1,17122255,17177953
PADI6,1,17186145,17215646
RCC2,1,17220707,17253705
RCC2-AS1,1,17220708,17221329
LOC124904837,1,17263787,17263887
ARHGEF10L,1,17353692,17513168
LINC02810,1,17532864,17537654
ACTL8,1,17570669,17642450
LOC105376809,1,17816123,17826130
LOC105376812,1,17859438,17872481
LINC01654,1,17885763,17894520
IGSF21,1,17927918,18198544
IGSF21-AS1,1,17980155,17996138
KLHDC7A,1,18301029,18306073
DYNLL1P3,1,18333064,18333451
PAX7,1,18450908,18568930
TAS1R2,1,18659394,18679451
ALDH4A1,1,18691214,18722363
MIR4695,1,18703009,18703082
MIR1290,1,18716879,18716956
IFFO2,1,18724088,18776570
LOC105376815,1,18788086,18871366
LOC124905702,1,18882717,18884984
UBR4,1,18898062,19033778
EMC1-AS1,1,19033898,19064234
EMC1,1,19039172,19075048
MRTO4,1,19075329,19083650
AKR7L,1,19089504,19097648
AKR7A3,1,19106100,19112298
LOC124903867,1,19111505,19128892
LOC100506730,1,19116775,19119264
AKR7A2,1,19126242,19135681
RNU6-1099P,1,19128611,19128715
SLC66A1,1,19135861,19155963
CAPZB,1,19162310,19308992
LOC124905703,1,19176169,19180165
LOC124903868,1,19232202,19239918
RN7SL277P,1,19247887,19248102
LOC124903869,1,19263397,19270033
LOC105376819,1,19307973,19355223
LOC105376818,1,19333313,19335906
RNU4-28P,1,19334016,19334156
LOC105376817,1,19335963,19353272
LOC124904816,1,19355603,19355707
MICOS10-DT,1,19415246,19420276
MICOS10-NBL1,1,19420423,19481830
MICOS10,1,19420423,19453202
RPS14P3,1,19431251,19432088
NBL1,1,19466606,19481830
HTR6,1,19488252,19504342
TMCO4,1,19505616,19623290
RNF186,1,19637417,19638671
LOC105376823,1,19683579,19712549
OTUD3,1,19705780,19736328
PLA2G2E,1,19743391,19746999
RN7SL304P,1,19794654,19794954
PLA2G2A,1,19799116,19804113
LOC100419911,1,19862614,19863128
PLA2G5,1,19893835,19915547
PLA2G2D,1,19935588,19943185
PLA2G2F,1,19962968,19974030
LOC117779438,1,19977863,19984213
PLA2G2C,1,19986700,20010162
UBXN10,1,20009740,20019694
LOC105376825,1,20020950,20026469
LOC105376826,1,20034361,20036999
LINC01757,1,20066752,20068312
LOC105376828,1,20095203,20098094
VWA5B1,1,20114458,20183107
LINC01141,1,20183390,20252834
CAMK2N1,1,20307345,20311164
MUL1,1,20324399,20333099
RPS4XP4,1,20350902,20351764
FAM43B,1,20377527,20379974
CDA,1,20414048,20443922
PINK1,1,20459649,20477706
MIR6084,1,20459870,20459979
PINK1-AS,1,20468847,20478383
DDOST,1,20477979,20487556
KIF17,1,20490201,20544577
SH2D5,1,20546303,20559270
HP1BP3,1,20566829,20613865
EIF4G3,1,20632859,21003583
RNU7-200P,1,20667879,20667940
LOC105376830,1,20730363,20745918
LOC105376829,1,20745916,20759280
MIR1256,1,20814893,20815011
RPS15AP6,1,20830152,20830605
HSPE1P27,1,20988155,20988761
ECE1,1,21044316,21172559
LOC124903872,1,21089161,21094304
ECE1-AS1,1,21120343,21126922
PPP1R11P1,1,21224583,21225345
PDE4DIPP10,1,21238254,21238788
LOC105376832,1,21239465,21243341
HS6ST1P1,1,21255180,21257398
CROCCP5,1,21258555,21261060
NBPF3,1,21264369,21308825
ALPL,1,21332916,21402323
LINC02596,1,21409601,21415099
RAP1GAP,1,21420130,21493311
USP48,1,21502254,21607091
LOC124904736,1,21565098,21565153
LDLRAD2,1,21636207,21649033
HSPG2,1,21646052,21761123
RPL21P29,1,21731871,21732427
CELA3B,1,21800816,21813168
RN7SL386P,1,21811293,21811589
RNU6-1022P,1,21811628,21811740
CELA3A,1,21825474,21836366
RNU6-776P,1,21834809,21834912
LINC01635,1,21847797,21849851
LINC00339,1,21848994,21855007
CDC42,1,21876517,21925101
LOC124903873,1,21889875,21892590
WNT4,1,21941071,21966860
LOC105376845,1,21964716,21981156
LOC105376850,1,21987114,21996275
LOC107985377,1,22076316,22081717
MIR4418,1,22089961,22090022
LOC105376856,1,22240003,22242646
ZBTB40,1,22275556,22354859
EPHA8,1,22387196,22428607
MIR6127,1,22458281,22458389
C1QA,1,22461488,22464703
C1QC,1,22468666,22473122
C1QB,1,22478246,22486577
EPHB2,1,22535722,22747006
MIR4684,1,22544400,22544481
MIR4253,1,22688657,22688724
LOC124903874,1,22709001,22715044
LACTBL1,1,22778822,22798628
TEX46,1,22836535,22841556
KDM1A,1,22845130,22909357
MIR3115,1,22869974,22870041
LUZP1,1,22909316,23003347
RNU6-514P,1,22988370,22988476
RNU6-135P,1,22989621,22989721
HTR1D,1,23017572,23043163
RPL29P6,1,23070379,23070996
LINC01355,1,23114448,23118657
HNRNPR,1,23137824,23177454
ZNF436,1,23192614,23203014
ZNF436-AS1,1,23202149,23205017
TCEA3,1,23214086,23259235
LOC124903875,1,23259349,23263471
ASAP3,1,23263051,23318656
E2F2,1,23340999,23365799
LOC101928163,1,23356496,23362985
LOC124903876,1,23374451,23407746
LOC105376859,1,23382996,23389524
ID3,1,23392495,23394070
MDS2,1,23461911,23475166
EEF1A1P48,1,23505701,23506168
RPL11,1,23526679,23531735
ELOA,1,23578438,23597030
ELOA-AS1,1,23595353,23613262
PITHD1,1,23613387,23623208
LOC105376860,1,23625600,23629099
LYPLA2,1,23626121,23630514
GALE,1,23630574,23635729
HMGCL,1,23636860,23660403
FUCA1,1,23680157,23703377
CNR2,1,23705612,23750778
LOC124904841,1,23717366,23717463
BTBD6P1,1,23738464,23740411
MIR378F,1,23766479,23766556
LOC124903877,1,23786203,23795536
H3P1,1,23786411,23786778
PNRC2,1,23797250,23800884
SRSF10,1,23801766,23817752
LOC105378615,1,23824831,23825211
RPL36P5,1,23845380,23846100
LOC105376863,1,23848043,23866727
LOC107984931,1,23880008,23901841
MYOM3,1,23893755,23949845
MYOM3-AS1,1,23904474,23921064
LOC124903878,1,23933759,23935687
LOC105376864,1,23936419,23942043
IL22RA1,1,23957480,23980846
LOC124903879,1,23989142,23998180
IFNLR1,1,23991876,24024975
LINC02800,1,24037935,24049345
GRHL3-AS1,1,24144035,24160056
GRHL3,1,24157463,24202842
STPG1,1,24195358,24253417
NIPAL3,1,24251895,24311350
RCAN3AS,1,24334640,24340768
RCAN3,1,24340730,24379427
NCMAP-DT,1,24377661,24394409
NCMAP,1,24394472,24447710
RPL26P8,1,24401981,24402355
SRRM1,1,24481714,24511711
LOC124904829,1,24505412,24505516
CLIC4,1,24584256,24679995
RNU6-1208P,1,24616647,24616753
LOC105376876,1,24692753,24701427
RUNX3,1,24735232,24800735
MIR6731,1,24755066,24755137
RUNX3-AS1,1,24766135,24800267
MIR4425,1,24859312,24859395
LINC02793,1,24876945,24884773
IFITM3P7,1,24961179,24961743
LOC124903880,1,24967450,24969205
SYF2,1,25058533,25068759
LOC124903881,1,25068841,25076510
RSRP1,1,25078510,25174547
RHD,1,25108757,25166740
SDHDP6,1,25129623,25130934
TMEM50A,1,25174627,25198659
LOC124904723,1,25177264,25177327
LOC124904823,1,25182566,25182669
RHCE,1,25198547,25257278
SDHDP7,1,25234982,25236291
MACO1,1,25267240,25336586
LDLRAP1,1,25380944,25406224
MAN1C1,1,25454132,25621930
SELENON,1,25637681,25655660
MTFR1L,1,25657395,25670373
LOC646471,1,25657395,25661039
AUNIP,1,25669339,25696890
PAQR7,1,25698915,25713139
STMN1,1,25721609,25744310
SNRPFP2,1,25724760,25725132
RPL39P7,1,25726347,25726734
MIR3917,1,25743792,25743884
LOC105376885,1,25743980,25745673
PAFAH2,1,25797193,25835465
RNU6-110P,1,25801622,25801725
LOC124905704,1,25840891,25872804
LOC124900433,1,25843624,25843707
EXTL1,1,25859174,25873866
SLC30A2,1,25874654,25883519
LOC105376910,1,25885659,25888069
TRIM63,1,25888705,25905036
PDIK1L,1,25948595,25962987
FAM110D,1,25996509,26001393
C1orf232,1,26001532,26006394
ZNF593OS,1,26006952,26009263
ZNF593,1,26007339,26008304
CNKSR1,1,26014921,26027308
CATSPER4,1,26028026,26040391
LOC100420494,1,26056325,26056973
ZPLD2P,1,26062759,26067279
CEP85,1,26071641,26116296
LOC124904684,1,26084208,26084301
MRPS6P1,1,26100511,26100874
SH3BGRL3,1,26117570,26119006
UBXN11,1,26119766,26155807
CD52,1,26155410,26157976
CRYBG2,1,26159318,26191577
RPL34P4,1,26164091,26164492
ZNF683,1,26199081,26210241
LIN28A,1,26248852,26267747
DHDDS,1,26270336,26309325
RPL17P9,1,26292619,26293230
DHDDS-AS1,1,26300777,26305556
HMGN2,1,26310460,26314663
DPPA2P2,1,26357069,26358216
RPS6KA1,1,26367713,26412979
MIR1976,1,26392495,26392546
RN7SL679P,1,26431199,26431500
LOC124904769,1,26440320,26440383
LOC124904813,1,26483635,26483738
LOC105376888,1,26527126,26528756
LOC101928728,1,26529854,26532075
ARID1A,1,26533960,26620059
PIGV,1,26625009,26638614
RN7SL165P,1,26652777,26653067
ZDHHC18,1,26664755,26695679
SFN,1,26701224,26702527
GPN2,1,26714196,26728346
GPATCH3,1,26728551,26738530
NR0B2,1,26749553,26752039
NUDC,1,26759801,26784927
KDF1,1,26787618,26798523
RPL12P13,1,26818137,26819080
RPL32P6,1,26821648,26822132
OSTCP2,1,26823810,26824396
TRNP1,1,26831757,26838951
TENT5B,1,26843086,26850914
LOC101928391,1,26870555,26904385
SLC9A1,1,26938788,26996283
LOC102723760,1,26998721,27001613
RPL18AP5,1,27017898,27018518
CHCHD3P3,1,27041862,27042825
NPM1P39,1,27048142,27049097
SNRPEP7,1,27052419,27052705
WDTC1-DT,1,27070676,27075649
WDTC1,1,27075852,27149870
